Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2021-04-13 00:00:00+08:00,604.0,613.0,604.0,605.0,553.5014038085938,25971622,0.0,0.0
2021-04-14 00:00:00+08:00,608.0,612.0,600.0,612.0,559.9054565429688,30077913,0.0,0.0
2021-04-15 00:00:00+08:00,612.0,619.0,607.0,619.0,566.3096313476562,33530942,0.0,0.0
2021-04-16 00:00:00+08:00,610.0,611.0,603.0,610.0,558.0757446289062,48507383,0.0,0.0
2021-04-19 00:00:00+08:00,605.0,607.0,601.0,603.0,551.6715698242188,24231637,0.0,0.0
2021-04-20 00:00:00+08:00,598.0,602.0,595.0,602.0,550.7567138671875,34771635,0.0,0.0
2021-04-21 00:00:00+08:00,599.0,599.0,592.0,592.0,541.6080322265625,38458220,0.0,0.0
2021-04-22 00:00:00+08:00,596.0,598.0,591.0,591.0,540.693115234375,33868521,0.0,0.0
2021-04-23 00:00:00+08:00,592.0,602.0,590.0,602.0,550.7567138671875,27754511,0.0,0.0
2021-04-26 00:00:00+08:00,605.0,610.0,603.0,610.0,558.0757446289062,30887664,0.0,0.0
2021-04-27 00:00:00+08:00,608.0,611.0,605.0,610.0,558.0757446289062,26317481,0.0,0.0
2021-04-28 00:00:00+08:00,606.0,608.0,601.0,602.0,550.7567138671875,24024054,0.0,0.0
2021-04-29 00:00:00+08:00,609.0,609.0,600.0,600.0,548.9270629882812,31828333,0.0,0.0
2021-05-03 00:00:00+08:00,595.0,597.0,588.0,588.0,537.948486328125,41762441,0.0,0.0
2021-05-04 00:00:00+08:00,588.0,594.0,582.0,591.0,540.693115234375,40273595,0.0,0.0
2021-05-05 00:00:00+08:00,594.0,594.0,585.0,585.0,535.203857421875,29254785,0.0,0.0
2021-05-06 00:00:00+08:00,590.0,590.0,580.0,587.0,537.0335083007812,30725590,0.0,0.0
2021-05-07 00:00:00+08:00,594.0,600.0,589.0,599.0,548.01220703125,28075722,0.0,0.0
2021-05-10 00:00:00+08:00,596.0,597.0,588.0,589.0,538.8634033203125,20434079,0.0,0.0
2021-05-11 00:00:00+08:00,579.0,580.0,570.0,571.0,522.3955688476562,59349193,0.0,0.0
2021-05-12 00:00:00+08:00,567.0,571.0,518.0,560.0,512.331787109375,131741482,0.0,0.0
2021-05-13 00:00:00+08:00,547.0,563.0,541.0,547.0,500.4383850097656,66765627,0.0,0.0
2021-05-14 00:00:00+08:00,556.0,562.0,552.0,557.0,509.5871887207031,37533726,0.0,0.0
2021-05-17 00:00:00+08:00,544.0,558.0,541.0,549.0,502.2682189941406,56270958,0.0,0.0
2021-05-18 00:00:00+08:00,563.0,573.0,555.0,572.0,523.310302734375,43689316,0.0,0.0
2021-05-19 00:00:00+08:00,571.0,572.0,565.0,567.0,518.7360229492188,28908777,0.0,0.0
2021-05-20 00:00:00+08:00,567.0,571.0,560.0,567.0,518.7360229492188,29709287,0.0,0.0
2021-05-21 00:00:00+08:00,572.0,577.0,568.0,573.0,524.2255249023438,27376731,0.0,0.0
2021-05-24 00:00:00+08:00,570.0,572.0,566.0,568.0,519.6509399414062,15629736,0.0,0.0
2021-05-25 00:00:00+08:00,576.0,584.0,573.0,583.0,533.3740844726562,33039911,0.0,0.0
2021-05-26 00:00:00+08:00,587.0,588.0,581.0,585.0,535.203857421875,18703987,0.0,0.0
2021-05-27 00:00:00+08:00,580.0,582.0,573.0,582.0,532.459228515625,62169719,0.0,0.0
2021-05-28 00:00:00+08:00,587.0,592.0,582.0,590.0,539.7781982421875,29086873,0.0,0.0
2021-05-31 00:00:00+08:00,595.0,597.0,590.0,597.0,546.1823120117188,30657474,0.0,0.0
2021-06-01 00:00:00+08:00,598.0,599.0,595.0,598.0,547.0972290039062,17818326,0.0,0.0
2021-06-02 00:00:00+08:00,600.0,600.0,593.0,595.0,544.3525390625,21872755,0.0,0.0
2021-06-03 00:00:00+08:00,600.0,600.0,596.0,596.0,545.2675170898438,21077164,0.0,0.0
2021-06-04 00:00:00+08:00,591.0,595.0,590.0,595.0,544.3525390625,15756180,0.0,0.0
2021-06-07 00:00:00+08:00,594.0,595.0,583.0,592.0,541.6080322265625,17077625,0.0,0.0
2021-06-08 00:00:00+08:00,590.0,595.0,588.0,589.0,538.8634033203125,13396324,0.0,0.0
2021-06-09 00:00:00+08:00,586.0,588.0,583.0,586.0,536.1187133789062,20023490,0.0,0.0
2021-06-10 00:00:00+08:00,591.0,599.0,587.0,599.0,548.01220703125,28527745,0.0,0.0
2021-06-11 00:00:00+08:00,602.0,603.0,600.0,602.0,550.7567138671875,24227710,0.0,0.0
2021-06-15 00:00:00+08:00,607.0,609.0,606.0,609.0,557.160888671875,26012250,0.0,0.0
2021-06-16 00:00:00+08:00,608.0,608.0,605.0,605.0,553.5014038085938,25856919,0.0,0.0
2021-06-17 00:00:00+08:00,601.0,606.0,598.0,606.0,556.7169189453125,22872361,2.5,0.0
2021-06-18 00:00:00+08:00,608.0,608.0,601.0,603.0,553.9607543945312,32652017,0.0,0.0
2021-06-21 00:00:00+08:00,590.0,594.0,583.0,583.0,535.5873413085938,44279632,0.0,0.0
2021-06-22 00:00:00+08:00,585.0,588.0,578.0,578.0,530.9939575195312,27823974,0.0,0.0
2021-06-23 00:00:00+08:00,583.0,598.0,581.0,595.0,546.6113891601562,34392376,0.0,0.0
2021-06-24 00:00:00+08:00,598.0,598.0,588.0,590.0,542.0180053710938,16524230,0.0,0.0
2021-06-25 00:00:00+08:00,598.0,598.0,589.0,591.0,542.9367065429688,18841696,0.0,0.0
2021-06-28 00:00:00+08:00,590.0,590.0,586.0,590.0,542.0180053710938,15028407,0.0,0.0
2021-06-29 00:00:00+08:00,598.0,598.0,591.0,595.0,546.6113891601562,28659610,0.0,0.0
2021-06-30 00:00:00+08:00,599.0,599.0,595.0,595.0,546.6113891601562,24883853,0.0,0.0
2021-07-01 00:00:00+08:00,596.0,597.0,591.0,593.0,544.7738647460938,18250994,0.0,0.0
2021-07-02 00:00:00+08:00,590.0,593.0,587.0,588.0,540.1806030273438,18322419,0.0,0.0
2021-07-05 00:00:00+08:00,588.0,597.0,588.0,591.0,542.9367065429688,28836816,0.0,0.0
2021-07-06 00:00:00+08:00,595.0,596.0,589.0,592.0,543.8552856445312,12997112,0.0,0.0
2021-07-07 00:00:00+08:00,590.0,594.0,588.0,594.0,545.6926879882812,16966158,0.0,0.0
2021-07-08 00:00:00+08:00,595.0,595.0,588.0,588.0,540.1806030273438,21140426,0.0,0.0
2021-07-09 00:00:00+08:00,582.0,585.0,580.0,584.0,536.5059204101562,29029415,0.0,0.0
2021-07-12 00:00:00+08:00,595.0,597.0,590.0,593.0,544.7738647460938,31304547,0.0,0.0
2021-07-13 00:00:00+08:00,600.0,608.0,599.0,607.0,557.6353759765625,52540315,0.0,0.0
2021-07-14 00:00:00+08:00,613.0,615.0,608.0,613.0,563.1473999023438,38418875,0.0,0.0
2021-07-15 00:00:00+08:00,613.0,614.0,608.0,614.0,564.066162109375,22012834,0.0,0.0
2021-07-16 00:00:00+08:00,591.0,595.0,588.0,589.0,541.099365234375,57970545,0.0,0.0
2021-07-19 00:00:00+08:00,583.0,584.0,578.0,582.0,534.6685180664062,40644341,0.0,0.0
2021-07-20 00:00:00+08:00,579.0,584.0,579.0,581.0,533.7498779296875,15354333,0.0,0.0
2021-07-21 00:00:00+08:00,586.0,586.0,580.0,585.0,537.4246826171875,25828732,0.0,0.0
2021-07-22 00:00:00+08:00,589.0,594.0,587.0,591.0,542.9367065429688,26058172,0.0,0.0
2021-07-23 00:00:00+08:00,592.0,592.0,583.0,585.0,537.4246826171875,15271451,0.0,0.0
2021-07-26 00:00:00+08:00,591.0,591.0,580.0,580.0,532.8311767578125,21619179,0.0,0.0
2021-07-27 00:00:00+08:00,581.0,584.0,580.0,580.0,532.8311767578125,17785992,0.0,0.0
2021-07-28 00:00:00+08:00,576.0,579.0,573.0,579.0,531.91259765625,36158305,0.0,0.0
2021-07-29 00:00:00+08:00,585.0,585.0,577.0,583.0,535.5873413085938,23224896,0.0,0.0
2021-07-30 00:00:00+08:00,581.0,582.0,578.0,580.0,532.8311767578125,18999281,0.0,0.0
2021-08-02 00:00:00+08:00,583.0,590.0,580.0,590.0,542.0180053710938,23482491,0.0,0.0
2021-08-03 00:00:00+08:00,594.0,594.0,590.0,594.0,545.6926879882812,22747702,0.0,0.0
2021-08-04 00:00:00+08:00,598.0,598.0,594.0,596.0,547.530029296875,20313271,0.0,0.0
2021-08-05 00:00:00+08:00,598.0,598.0,593.0,596.0,547.530029296875,15116242,0.0,0.0
2021-08-06 00:00:00+08:00,596.0,596.0,588.0,591.0,542.9367065429688,13687213,0.0,0.0
2021-08-09 00:00:00+08:00,590.0,595.0,583.0,595.0,546.6113891601562,17390951,0.0,0.0
2021-08-10 00:00:00+08:00,596.0,596.0,589.0,591.0,542.9367065429688,17190865,0.0,0.0
2021-08-11 00:00:00+08:00,590.0,590.0,585.0,590.0,542.0180053710938,19969687,0.0,0.0
2021-08-12 00:00:00+08:00,586.0,588.0,584.0,586.0,538.3433227539062,15444622,0.0,0.0
2021-08-13 00:00:00+08:00,585.0,585.0,579.0,581.0,533.7498779296875,22524428,0.0,0.0
2021-08-16 00:00:00+08:00,582.0,586.0,578.0,584.0,536.5059204101562,19315705,0.0,0.0
2021-08-17 00:00:00+08:00,584.0,584.0,584.0,584.0,536.5059204101562,0,0.0,0.0
2021-08-18 00:00:00+08:00,568.0,575.0,566.0,574.0,527.3191528320312,43716164,0.0,0.0
2021-08-19 00:00:00+08:00,573.0,573.0,559.0,559.0,513.5389404296875,38868947,0.0,0.0
2021-08-20 00:00:00+08:00,560.0,563.0,551.0,552.0,507.1084289550781,45614061,0.0,0.0
2021-08-23 00:00:00+08:00,560.0,572.0,559.0,566.0,519.9698486328125,33685159,0.0,0.0
2021-08-24 00:00:00+08:00,574.0,575.0,571.0,572.0,525.4818115234375,24844800,0.0,0.0
2021-08-25 00:00:00+08:00,579.0,585.0,574.0,585.0,537.4246826171875,27504657,0.0,0.0
2021-08-26 00:00:00+08:00,601.0,603.0,591.0,594.0,545.6926879882812,43822008,0.0,0.0
2021-08-27 00:00:00+08:00,596.0,600.0,593.0,599.0,550.2859497070312,27105651,0.0,0.0
2021-08-30 00:00:00+08:00,602.0,605.0,599.0,605.0,555.7981567382812,36575609,0.0,0.0
2021-08-31 00:00:00+08:00,604.0,614.0,598.0,614.0,564.066162109375,52721470,0.0,0.0
2021-09-01 00:00:00+08:00,614.0,614.0,608.0,613.0,563.1473999023438,30092045,0.0,0.0
2021-09-02 00:00:00+08:00,613.0,615.0,607.0,607.0,557.6353759765625,24112463,0.0,0.0
2021-09-03 00:00:00+08:00,610.0,620.0,610.0,620.0,569.5782470703125,51562454,0.0,0.0
2021-09-06 00:00:00+08:00,623.0,638.0,621.0,631.0,579.6837158203125,55589014,0.0,0.0
2021-09-07 00:00:00+08:00,634.0,634.0,623.0,623.0,572.3342895507812,26526056,0.0,0.0
2021-09-08 00:00:00+08:00,622.0,627.0,612.0,619.0,568.6595458984375,37817737,0.0,0.0
2021-09-09 00:00:00+08:00,612.0,620.0,610.0,619.0,568.6595458984375,18735512,0.0,0.0
2021-09-10 00:00:00+08:00,615.0,623.0,614.0,622.0,571.4155883789062,16304725,0.0,0.0
2021-09-13 00:00:00+08:00,619.0,620.0,613.0,615.0,564.9848022460938,15198774,0.0,0.0
2021-09-14 00:00:00+08:00,618.0,618.0,612.0,613.0,563.1473999023438,14441901,0.0,0.0
2021-09-15 00:00:00+08:00,610.0,613.0,607.0,607.0,557.6353759765625,23433501,0.0,0.0
2021-09-16 00:00:00+08:00,603.0,607.0,599.0,600.0,553.7134399414062,22467022,2.75,0.0
2021-09-17 00:00:00+08:00,600.0,610.0,599.0,600.0,553.7134399414062,40717715,0.0,0.0
2021-09-22 00:00:00+08:00,586.0,589.0,583.0,586.0,540.7933959960938,40642293,0.0,0.0
2021-09-23 00:00:00+08:00,588.0,593.0,588.0,588.0,542.6389770507812,21696296,0.0,0.0
2021-09-24 00:00:00+08:00,591.0,598.0,590.0,598.0,551.8674926757812,16736973,0.0,0.0
2021-09-27 00:00:00+08:00,600.0,602.0,593.0,602.0,555.5589599609375,19464241,0.0,0.0
2021-09-28 00:00:00+08:00,595.0,596.0,592.0,594.0,548.17626953125,16707080,0.0,0.0
2021-09-29 00:00:00+08:00,580.0,583.0,577.0,580.0,535.2561645507812,49310524,0.0,0.0
2021-09-30 00:00:00+08:00,580.0,585.0,575.0,580.0,535.2561645507812,30465107,0.0,0.0
2021-10-01 00:00:00+08:00,579.0,579.0,571.0,574.0,529.7191772460938,36704493,0.0,0.0
2021-10-04 00:00:00+08:00,574.0,575.0,569.0,572.0,527.8733520507812,20957803,0.0,0.0
2021-10-05 00:00:00+08:00,562.0,572.0,560.0,572.0,527.8733520507812,33824024,0.0,0.0
2021-10-06 00:00:00+08:00,573.0,574.0,565.0,571.0,526.950439453125,32508846,0.0,0.0
2021-10-07 00:00:00+08:00,575.0,582.0,572.0,580.0,535.2561645507812,27933054,0.0,0.0
2021-10-08 00:00:00+08:00,582.0,583.0,573.0,575.0,530.6419677734375,18279079,0.0,0.0
2021-10-12 00:00:00+08:00,570.0,575.0,564.0,575.0,530.6419677734375,26522907,0.0,0.0
2021-10-13 00:00:00+08:00,572.0,575.0,570.0,571.0,526.950439453125,18914374,0.0,0.0
2021-10-14 00:00:00+08:00,579.0,579.0,573.0,573.0,528.7963256835938,13916927,0.0,0.0
2021-10-15 00:00:00+08:00,592.0,600.0,586.0,600.0,553.7134399414062,53150216,0.0,0.0
2021-10-18 00:00:00+08:00,604.0,604.0,590.0,590.0,544.4848022460938,19158568,0.0,0.0
2021-10-19 00:00:00+08:00,598.0,600.0,593.0,600.0,553.7134399414062,17386359,0.0,0.0
2021-10-20 00:00:00+08:00,603.0,604.0,597.0,598.0,551.8674926757812,16372520,0.0,0.0
2021-10-21 00:00:00+08:00,602.0,603.0,595.0,596.0,550.0219116210938,16169014,0.0,0.0
2021-10-22 00:00:00+08:00,600.0,602.0,594.0,600.0,553.7134399414062,13995403,0.0,0.0
2021-10-25 00:00:00+08:00,597.0,597.0,590.0,593.0,547.2533569335938,16785568,0.0,0.0
2021-10-26 00:00:00+08:00,595.0,600.0,593.0,599.0,552.7903442382812,19998808,0.0,0.0
2021-10-27 00:00:00+08:00,598.0,599.0,594.0,599.0,552.7903442382812,14961858,0.0,0.0
2021-10-28 00:00:00+08:00,598.0,598.0,591.0,595.0,549.0989379882812,16570044,0.0,0.0
2021-10-29 00:00:00+08:00,595.0,596.0,589.0,590.0,544.4848022460938,25763960,0.0,0.0
2021-11-01 00:00:00+08:00,591.0,593.0,590.0,590.0,544.4848022460938,16089351,0.0,0.0
2021-11-02 00:00:00+08:00,594.0,597.0,590.0,592.0,546.3303833007812,15192404,0.0,0.0
2021-11-03 00:00:00+08:00,597.0,597.0,592.0,592.0,546.3303833007812,10224009,0.0,0.0
2021-11-04 00:00:00+08:00,592.0,594.0,585.0,587.0,541.7161865234375,17932145,0.0,0.0
